Index,Layer,Text,X,Y,Z
1,0,-,71.571429,292.571429,0.000000
2,0,-,161.571429,292.571429,0.000000
3,0,-,101.571429,292.571429,0.000000
4,0,-,131.571429,292.571429,0.000000
5,0,-,191.571429,292.571429,0.000000
6,0,-,221.571429,292.571429,0.000000
7,0,-,292.571429,71.571429,0.000000
8,0,-,292.571429,71.571429,0.000000
9,0,-,292.571429,101.571429,0.000000
10,0,-,292.571429,101.571429,0.000000
11,0,-,292.571429,131.571429,0.000000
12,0,-,292.571429,161.571429,0.000000
13,0,-,292.571429,191.571429,0.000000
14,0,-,292.571429,221.571429,0.000000
15,0,-,292.571429,251.571429,0.000000
16,0,-,251.571429,292.571429,0.000000
17,0,-,265.071429,292.571429,0.000000
18,0,-,292.571429,279.904762,0.000000
19,0,-,292.571429,265.071429,0.000000
20,0,-,279.904762,292.571429,0.000000
