Index,Layer,Text,X,Y,Z
1,ADA010_ _,A1  841 x 594,257.726433,1.655090,0.000000
2,ADA010_ _,1:100,264.569996,27.464351,0.000000
3,ADA010_ _,ARCHITECTURAL,254.857027,11.044674,0.000000
4,ADA010_ _,PROPERTY  BRANCH,239.407721,17.858019,0.000000
5,ADA010_ _,DEPARTMENT,254.857027,6.079177,0.000000
6,ADA010_ _,FOURTH FLOOR PLAN,239.391499,44.977689,0.000000
7,ADA010_ _,PB(A)/97904/99151/GP005,239.445543,27.396253,0.000000
8,ADA010_ _,drawing title,239.328122,47.818253,0.000000
9,ADA010_ _,drawing no.,239.328122,32.043244,0.000000
10,ADA010_ _,office,240.363855,21.924930,0.000000
11,ADA010_ _,scale,262.910964,32.043244,0.000000
12,ADA010_ _,CENTRE,239.407721,58.189664,0.000000
13,ADA010_ _,NAM CHEONG COMMUNITY,239.407721,60.845582,0.000000
14,ADA010_ _,project no.,239.328122,67.258164,0.000000
15,ADA010_ _,contract,239.328122,63.911950,0.000000
16,041--,date,265.942043,76.088184,0.000000
17,ADA010_ _,05/99,265.983296,93.480502,0.000000
18,ADA010_ _,initial,265.779147,107.492405,0.000000
19,ADA010_ _,date,265.858819,102.552755,0.000000
20,ADA010_ _,name,253.111337,102.473083,0.000000
21,ADA010_ _,contract no.,239.487465,73.552233,0.000000
22,041--,P.S.M.,239.248450,77.373074,0.000000
23,ADA010_ _,file no.,239.248450,70.445034,0.000000
24,ADA010_ _,traced,239.337270,90.551181,0.000000
25,041--,C.P.S.M.,239.248450,82.238712,0.000000
26,041--,S.P.S.M.,239.248450,79.872851,0.000000
27,ADA010_ _,checked,239.337270,87.270341,0.000000
28,ADA010_ _,approved,239.248450,84.068906,0.000000
29,ADA010_ _,surveyed,239.337270,100.393701,0.000000
30,ADA010_ _,designed,239.337270,97.112861,0.000000
31,ADA010_ _,drawn,239.337270,93.832021,0.000000
32,041--,signed,254.648406,76.088184,0.000000
33,ADA010_ _,EB-26-2306-000,248.314912,70.498561,0.000000
34,ADA010_ _,ANGUS HO,251.724878,93.421916,0.000000
35,ADA010_ _,K K CHAN/STO(A),247.720231,86.908043,0.000000
36,ADA010_ _,no.,239.587268,107.506060,0.000000
37,ADA010_ _,REVISION,240.353417,104.848990,0.000000
38,ADA010_ _,date,242.619262,107.489759,0.000000
39,ADA010_ _,description,250.243154,107.412733,0.000000
40,ADA010_ _,-COMPLETE REFURBISHMENT,239.407721,55.534635,0.000000
41,ADA010_ _,FOURTH FLOOR PLAN,204.845575,8.590262,0.000000
42,ADA020_ _,L,47.067353,170.105383,0.000000
43,ADA020_ _,K,58.878376,170.105383,0.000000
44,ADA020_ _,J,70.689400,170.105383,0.000000
45,ADA020_ _,H,82.500423,170.105383,0.000000
46,ADA020_ _,G,94.311447,170.105383,0.000000
47,ADA020_ _,F,106.122471,170.105383,0.000000
48,ADA020_ _,E,117.933494,170.105383,0.000000
49,ADA020_ _,D,129.744518,170.105383,0.000000
50,ADA020_ _,C,141.555542,170.105383,0.000000
51,ADA020_ _,B,155.991237,170.105383,0.000000
